Product Name,Release Date,First appearance,Continuity,MSRP,Grade
Gundam TR-1 [Hazel Custom] (HG),2005-09-05,Advance of Zeta: The Flag of Titans,UC,1430,HG
Gundam TR-1 [Advanced Hazel] (HG),2005-11,Advance of Zeta: The Flag of Titans,UC,1760,HG
Gundam TR-1 [Hazel II] (HG),2006-09,Advance of Zeta: The Flag of Titans,UC,1650,HG
Gaplant TR-5 [Hrairoo] (HG),2006-12,Advance of Zeta: The Flag of Titans,UC,2640,HG
Gundam X (HG),2010-04-09,After War Gundam X,AW,1980,HG
Gundam X Divider (HG),2010-12-12,After War Gundam X,AW,1980,HG
Gundam Double X (HG),2013-10-11,After War Gundam X,AW,1870,HG
Gundam Airmaster (HG),2014-07-24,After War Gundam X,AW,1870,HG
Gundam X (MG),2014-01-11,After War Gundam X,AW,4180,MG
Gundam Double X (MG),2015-03-28,After War Gundam X,AW,4950,MG
Gundam X (SD),2000-02,After War Gundam X,AW,440,SD
Gundam Double X (SD),2000-06,After War Gundam X,AW,440,SD
Gundam Leopard (SD),2000-06,After War Gundam X,AW,440,SD
Gundam Airmaster (SD),2000-06,After War Gundam X,AW,440,SD
Nu Gundam HWS (HG),2009-04-25,Char’s Counterattack Mobile Suit Variations,UC,3080,HG
Shin Musha Gundam (MG),2008-06-21,Dynasty Warriors Gundam,AD,5500,MG
Musha Gundam Mk-II (MG),2010-05-27,Dynasty Warriors Gundam,AD,6600,MG
Gundam Helios (HG),2021-11-06,Gundam Breaker Battlelogue,GBB,2530,HG
Gundam Livelance Heaven (HG),2021-11-06,Gundam Breaker Battlelogue,GBB,2200,HG
Gundam Perfect Strike Freedom (HG),2021-01-11,Gundam Breaker Battlelogue,GBB,2530,HG
Blazing Gundam (HG),2021-01-11,Gundam Breaker Battlelogue,GBB,2200,HG
Gundam 00 Command Qan[T] (HG),2021-01-15,Gundam Breaker Battlelogue,GBB,2200,HG
Gundam Barbataurus (HG),2021-01-15,Gundam Breaker Battlelogue,GBB,2420,HG
Gundam Ground Urban Command Type (HG),2022-02,Gundam Breaker Battlelogue,GBB,1980,HG
Gouf Crimson Custom (HG),2022-02,Gundam Breaker Battlelogue,GBB,1980,HG
Wing Gundam Sky Zero (HG),2022-02,Gundam Breaker Battlelogue,GBB,1870,HG
Gundam Astray Red Frame Inversion (HG),2022-02,Gundam Breaker Battlelogue,GBB,1980,HG
Gundam 00 Diver (HG),2018-04-07,Gundam Build Divers,BD,1100,HG
Gundam Age II Magnum (HG),2018-03-10,Gundam Build Divers,BD,1980,HG
